,words,values
0,recover,-0.24592087430693474
1,error,-0.2317054810405833
2,card,-0.22282098382725207
3,lost,-0.2044790948148825
4,tried,-0.19922982006158077
5,failed,-0.1806200294893374
6,appeared,-0.17561193702617828
7,replacement,-0.170676435611757
8,two,-0.1626520611878715
9,unable,-0.16209489845462483
10,returned,-0.1615144888628646
11,days,-0.16044645800201066
12,refund,-0.15866428864382603
13,stopped,-0.157708308832892
14,returning,-0.1576986555930853
15,ranscend,-0.15465442895257972
16,return,-0.15250534256056528
17,stuck,-0.15036707221849438
18,70,-0.1492157212851566
19,fine,-0.14890620140640093
